word,transcription
trump,טראָמפּ
ayatollah,אַיאַטאָללאַ
khamenei,כאַמענעאי
ali,אַלי
dr,דר
mr,מר
president,פּרעזידענט
aharon,אהרן
arel,אראל
ari,ארי
arie,אריה
ariel,אריאל
aron,אהרן
avi,אבי
avraham,אברהם
avram,אברם
chaim,חיים
dov,דב
efram,אפרים
ehud,אהוד
ephrayim,אפרים
gavriel,גבריאל
gershom,גרשם
gershon,גרשון
hanan,חנן
hillel,הלל
izaak,יצחק
izak,יצחק
kalman,קלמן
lev,לב
meir,מאיר
michal,מיכאל
moshe,משה
noach,נח
noam,נועם
oren,אורן
pincas,פנחס
pinchas,פנחס
reuven,ראובן
ronen,רונן
roni,רוני
shalom,שלום
shanan,שנן
shimon,שמעון
shlomo,שלמה
uri,אורי
yaakov,יעקב
yacov,יעקב
yehudi,יהודי
yigal,יגאל
avrom,אברהם
garfinkel,גארפינקל
haskel,האסקל
hersch,הערש
herschel,הערשל
hersh,הערש
hershel,הערשל
hirsch,הירש
mendel,מענדל
moishe,משה
selig,זעליג
sholom,שלום
zalman,זלמן
zelig,זעליג
alexei,אַלעקסיי
anatol,אַנאַטאָל
anatoly,אַנאַטאָלי
andrey,אַנדריי
boris,באָריס
dimitri,דמיטרי
dimitry,דמיטרי
dmitri,דמיטרי
fyodor,פיאָדאָר
georgy,געאָרגי
igor,איגאָר
ivan,איוואַן
leonid,לעאָניד
mikhail,מיכאַאיל
nikita,ניקיטע
nikolai,ניקאָליי
oleg,אָלעג
pyotr,פיאָטר
sergei,סערגיי
vasili,וואַסילי
vasily,וואַסילי
vassili,וואַסילי
vassily,וואַסילי
yuri,יורי
алексей,אַלעקסיי
анатоль,אַנאַטאָל
анатолий,אַנאַטאָלי
андрей,אַנדריי
борис,באָריס
дмитрий,דמיטרי
дмитрий,דמיטרי
дмитрий,דמיטרי
фёдор,פיאָדאָר
георгий,געאָרגי
игорь,איגאָר
иван,איוואַן
леонид,לעאָניד
михаил,מיכאַאיל
никита,ניקיטע
николай,ניקאָליי
олег,אָלעג
пётр,פיאָטר
сергей,סערגיי
василий,וואַסילי
василий,וואַסילי
василий,וואַסילי
василий,וואַסילי
юрий,יורי
constantin,קאָנסטאַנטין
filip,פיליפ
konstantin,קאָנסטאַנטין
lazar,לאַזאַר
marko,מאַרקאָ
maxim,מאַקסים
mischa,נישאַ
pavel,פאַוועל
petr,פיאָטר
ravil,ראַוויל
sascha,סאַשאַ
sasha,סאַשאַ
vlad,וולאַד
vladamir,וולאַדימיר
vladimir,וולאַדימיר
константин,קאָנסטאַנטין
filip,פיליפ
константин,קאָנסטאַנטין
lazar,לאַזאַר
marko,מאַרקאָ
максим,מאַקסים
миша,נישאַ
павел,פאַוועל
пётр,פיאָטר
равиль,ראַוויל
саша,סאַשאַ
саша,סאַשאַ
влад,וולאַד
владимир,וולאַדימיר
владимир,וולאַדימיר
лавров,לאווראוו
песков,פעסקאוו
шойгу,שויגו
пригожин,פריגאזשין
рамзан,ראמזאן
кадыров,קאדיראוו
николай,ניקאליי
александр,אלעקסאנדר
иосиф,איאסיף
сталин,סטאלין
alabama,אַלאַבאַמע
alaska,אַלאַסקע
arizona,אַריזאָנע
arkansas,אַרקאַנסאָ
california,קאַליפאָרניע
colorado,קאָלאָראַדאָ
connecticut,קאָנעטיקוט
delaware,דעלאַווער
florida,פלאָרידע
georgia,דזשאָרדזשיע
hawaii,האַוואַאי
idaho,איידעהא
illinois,אילינוי
indiana,אינדיאַנע
iowa,אייאָווע
kansas,קאַנזאַס
kentucky,קענטאָקי
louisiana,לואיזיאַנע
maine,מעין
maryland,מערילאַנד
massachusetts,מאַסאטשוסעטס
michigan,מישיגען
minnesota,מינעסאָטע
mississippi,מיסיסיפי
missouri,מיזורי
montana,מאַנטאַנע
nebraska,נעבראַסקע
nevada,נעוואַדע
hampshire,העמפשיר
jersey,דזשערזי
mexico,מעקסיקאָ
york,יאָרק
ohio,אָהייאָ
oklahoma,אָקלאַהאָמע
oregon,אָרעגאָן
pennsylvania,פענסילוועניע
rhode island,ראָוד איילאַנד
carolina,קאַראָליינע
dakota,דאַקאָטע
tennessee,טענעסי
texas,טעקסאַס
utah,יוטאַ
vermont,ווערמאָנט
virginia,ווירדזשיניע
washington,וואַשינגטאָן
west,וועסט
wisconsin,וויסקאַנסין
wyoming,ווייאָמינג
district of columbia,דיסטריקט פון קאָלאָמביע
south,סאַוט
north,נאָרד
new,ניו
